Name,Team,Position,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
노시환,한화,3B,22,0.48,0.18,93,92,86,13,22,3,1,5,42,15,4,1,5,2,1,21,2,0,0,0.256,0.312,0.488,0.8,0.135,111.5,0.65
나승엽,롯데,1B,22,1.02,-0.19,93,93,75,11,20,6,1,3,37,9,0,0,16,2,0,14,2,0,0,0.267,0.409,0.493,0.902,0.195,152.6,0.83
송성문,키움,2B,22,0.84,-0.04,96,96,84,16,21,6,0,4,39,10,3,0,12,0,0,11,1,0,0,0.25,0.344,0.464,0.808,0.149,130.3,0.8
푸이그,키움,LF,22,-0.04,-0.19,97,97,87,12,19,2,0,3,30,11,0,0,7,3,0,20,1,0,0,0.218,0.299,0.345,0.644,0.092,81.4,-0.22
채은성,한화,1B,22,0.13,-0.03,85,85,77,4,21,7,0,1,31,5,0,1,6,2,0,16,1,0,0,0.273,0.341,0.403,0.744,0.13,107.1,0.1
레이예스,롯데,LF,22,0.19,0.3,98,97,89,8,27,8,0,0,35,13,2,0,6,0,1,14,2,0,3,0.303,0.337,0.393,0.73,0.115,89.7,0.48
플로리얼,한화,CF,22,0.46,-0.19,98,98,88,9,23,8,1,1,36,16,4,2,9,0,1,24,2,0,1,0.261,0.327,0.409,0.736,0.12,99.3,0.26
김태연,한화,LF,22,0.05,-0.21,87,86,79,11,21,1,0,1,25,7,2,0,5,2,0,16,2,1,0,0.266,0.326,0.316,0.642,0.094,77.5,-0.16
김영웅,삼성,3B,21,-0.14,0.13,87,87,81,8,21,2,0,3,32,14,1,1,4,0,0,25,3,0,2,0.259,0.287,0.395,0.682,0.09,75.4,-0.01
디아즈,삼성,1B,21,0.03,0.01,86,86,80,9,21,4,0,5,40,15,0,0,5,0,0,16,2,0,1,0.263,0.302,0.5,0.802,0.132,110.4,0.04
전민재,롯데,SS,21,1.1,-0.25,72,67,62,10,26,6,0,0,32,5,1,0,4,1,0,17,1,5,0,0.419,0.463,0.516,0.979,0.221,171.9,0.85
이재현,삼성,SS,21,1.11,0.14,92,90,71,19,18,5,0,3,32,12,1,0,17,3,1,21,0,1,0,0.254,0.418,0.451,0.869,0.187,157.0,1.24
구자욱,삼성,LF,21,0.04,-0.13,92,89,81,17,17,5,0,4,34,14,0,0,9,0,3,16,0,1,1,0.21,0.286,0.42,0.706,0.096,80.4,-0.09
박병호,삼성,DH,21,-0.18,-0.05,79,79,68,10,12,2,0,5,29,12,0,0,8,3,0,25,1,0,0,0.176,0.291,0.426,0.717,0.114,94.9,-0.23
